name,repo
dyte-react-sample-app,https://github.com/dyte-in/react-sample-app/
dyte-js-sample-app,https://github.com/dyte-in/javascript-sample-app
dyte-sample-app-backend,https://github.com/dyte-in/backend-sample-app
fungataua-crm-backend,https://github.com/harshkanani014/fungataua-crm-backend
erp-backend,https://github.com/harshkanani014/erp-backend
js-plugin-template,https://github.com/dyte-in/js-plugin-template
react-plugin-template,https://github.com/dyte-in/react-plugin-template
nextjs-sample-app,https://github.com/dyte-in/nextjs-sample-app
dyte-plugin-react-template,https://github.com/dyte-in/dyte-plugin-react-template
